GENE,aver.sec4.bs,aver.sec4.me,aver.sec9.bs,aver.sec9.me,aver.sec14.bs,aver.sec14.me,sder.sec4.bs,sder.sec4.me,sder.sec9.bs,sder.sec9.me,sder.sec14.bs,sder.sec14.me
GRMZM2G097457,36.59810645,31.36535345,61.44914749,27.75689444,52.78020034,31.12259141,1.043862326,1.662806013,1.767117637,0.895118004,9.097850777,2.238067568
GRMZM2G097469,0.122115531,0.513943768,0.019496146,0.39991446,0.042690377,0.158139535,0.012212828,0.024517771,0.002736369,0.028656975,0.012181902,0.041860465
GRMZM2G097499,0.937829509,1.044315034,1.008995739,1.047533712,1.654680675,1.926686047,0.017394371,0.342391957,0.158602026,0.01534054,0.093663696,0.188313953
GRMZM2G097502,0.079596652,0.123482376,0.244350002,0.166492044,0.084908712,0.14712348,0.000118409,0.04493253,0.02556906,0.036751477,0.001023493,0.02402824
GRMZM2G097504,0.255694184,0.211757439,0.169277307,0.211685859,0.210091682,0.172023731,0.003153876,0.008550954,0.007355927,0.007130608,0.025453431,0.028482017
GRMZM2G097533,0.018062949,0.013871137,0.049341113,0.007042253,0,0,0.004325111,0.004255752,0.046562049,0.007042253,0,0
GRMZM2G097568,0.917222752,0.802753907,0.934382779,0.841841474,0.69250197,0.623081395,0.038001128,0.148907753,0.146673282,0.039446264,0.082332467,0.221918605
GRMZM2G097573,0.286503964,0.301620965,0.057020632,0.210363982,0,0.069011628,0.07754874,0.102225189,0.037467559,0.014186917,0,0.024011628
GRMZM2G097593,0.148997439,0.267197309,0.162482114,0.255551273,0.22444719,0.185116279,0.029594454,0.036428078,0.017230717,0.010042291,0.000718373,0.004883721
GRMZM2G097605,0.241855991,0.177172905,0.172814334,0.288364922,0.096733641,0.19872093,0.032900767,0.004095982,0.028302984,0.052952444,0.03571669,0.06872093
GRMZM2G097618,0.003434459,0,0,0,0.032480235,0.005271313,0.003434459,0,0,0,0.008197692,0.001395347
GRMZM2G097620,0.27586311,0.150534512,0.111546832,0.192460152,0.142496353,0.176395349,0.097271218,0.04177318,0.039291157,0.018807457,0.010046022,0.013604651
GRMZM2G097640,0.588189593,0.403526614,1.437427074,0.673140644,1.482085545,0.74372093,0.038676078,0.077242616,0.091058359,0.051410254,0.02784823,0.02372093
GRMZM2G097641,0.042994817,0.113728795,0.011116258,0.053964506,0.052980132,0.354418605,0.001781303,0.059348128,0.011116258,0.035855854,0.052980132,0.005581395
GRMZM2G097659,0.021285057,0.014963395,0.000904975,0.00135333,0,0,0.003001475,0.001501856,0.000206651,0.000155725,0,0
GRMZM2G097662,0.103755698,0.219614226,0.299553515,0.311386284,0.395504549,0.6025,0.000721914,0.011155005,0.016088943,0.065877302,0.054826577,0.1025
GRMZM2G097674,8.288418124,8.509586459,2.392524751,2.618555663,3.02531151,1.496162791,0.457850533,0.298105849,0.308725868,0.079633507,0.127006371,0.193837209
GRMZM2G097683,0,0,0.002793296,0.003018109,0,0,0,0,0.002793296,0.003018109,0,0
GRMZM2G097691,0.065895889,0.035788819,0.00669395,0.007053758,0.037671809,0.021722873,0.005661337,0.020942027,0.00102995,0.001253236,0.018083436,0.002889533
GRMZM2G097704,0.505506274,0.232105512,0.822314546,0.042108941,0.414367497,0.174534884,0.05774508,0.03979782,0.155339085,0.006180798,0.088943762,0.104534884
GRMZM2G097706,0.00248756,0.01904678,0.062600108,0.334191778,0.039735099,0.276162787,0.00248756,0.01300449,0.034667147,0.005848466,0.039735099,0.057170543
GRMZM2G097726,0.842595887,1.043254723,1.136690386,1.313997768,1.433123822,1.74,0.036625738,0.062485492,0.024958543,0.092440882,0.082130444,0.24
